restaurant_name,country,city,address,formatted_address,latitude,longitude,state_or_province,restaurant_extraction_date,zip_or_postal_code,style,cuisines,restaurant_type,rating_value,review_count,phone,restaurant_proprietary_url,restaurant_url,menu_proprietary_url,price_range,takeout,alcohol_service,waiter_service,owner_verification,menu_source,source_restaurant_name,menu_last_updated_by_source,restaurant_source,yelp_menu_provider,restaurant_object_key,distance,app_filter,airport,catering_service,datetime_timestamp
Blane's at the Radisson AR247 Radisson West Memphis,United States Of America,WEST MEMPHIS,2007 South Service Road,2007 South Service Road,35.15743,-90.15902,ARKANSAS,2026-02-28,72301,American,american,,,0,+1 870-629-6071,,,,$$,No,No,Yes,,https://www.toasttab.com/local/order/blanes-at-the-radisson-hotel-west-memphis/r-afc601e6-bd95-4148-affa-def6b5ef1faf,Blane's at the Radisson AR247 Radisson West Memphis,,toasttab,,2467429,13.022620382470715,true,MEM,,2026-03-07T05:19:15.522Z
DC Cafe 7485 Polk Lane,United States Of America,OLIVE BRANCH,9475 Polk Lane,9475 Polk Lane,34.99102,-89.7778,MISSISSIPPI,2026-02-28,38654,American,american,,,0,+1 662-880-1447,,,,$,No,No,Yes,,https://www.toasttab.com/local/order/dc-cafe-9199-ms-178/r-1f890ac5-e3c9-497c-98f6-0611fd58ecfd,DC Cafe 7485 Polk Lane,,toasttab,,1651254,11.821866485491265,true,MEM,,2026-03-07T05:19:15.522Z
Say Cheese Mobile,United States Of America,CORDOVA,8100 Macon Station 102,8100 Macon Station 102,35.15281,-89.79366,TENNESSEE,2026-02-28,38018,American,american,,,0,+1 901-832-4074,,,,$,No,No,Yes,,https://www.toasttab.com/local/order/el-mero-inc-dba-say-cheese-ft-2-8100-macon-station-suite-102/r-51489b2f-0b17-49e0-af7a-657aeac1e072,Say Cheese Mobile,,toasttab,,2451523,12.861568293288522,true,MEM,,2026-03-07T05:19:15.522Z
Go Grisanti,United States Of America,GERMANTOWN,1940 Exeter Road,1940 Exeter Road,35.0962,-89.80157,TENNESSEE,2026-02-28,38138,Italian,"italian, exclusive to eats, pasta, desserts, salad",,4.641609719058463,0,+1 901-379-8630,https://www.gogrisanti.com,https://www.gogrisanti.com,https://static1.squarespace.com/static/64527244c7c9880710819306/t/6499aee8de26e01ac34501ed/1687793384992/GOG-Menus-ToGo-Menu.pdf,$$$,Yes,Yes,Yes,,https://www.toasttab.com/local/order/gogrisanti/r-040fa239-4759-49bd-be65-5acb2896598b,Go Grisanti,,toasttab,,2470888,10.59384973333304,true,MEM,,2026-03-07T05:19:15.522Z
Lit Cafe & Billiard,United States Of America,MILLINGTON,7772 Highway 51 North,7772 Highway 51 North,35.3383375,-89.91234750000001,TENNESSEE,2026-02-28,38053,Pool Hall,"pool hall, café, cafe, coffee, and tea house, dining and drinking, arts and entertainment, american, restaurant",Casual Dining,,0,+1 901-872-0938,https://www.toasttab.com/lit-cafe-billiard-7772-highway-51-north,https://www.toasttab.com/lit-cafe-billiard-7772-highway-51-north,,$$,No,No,Yes,,https://www.toasttab.com/local/order/lit-cafe-billiard/r-1bea41c5-a8fb-44bc-8f7f-ce164986c155,Lit Cafe & Billiard,,toasttab,,1846760,20.722024860102888,true,MEM,,2026-03-07T05:19:15.522Z
The Food Dude LLC,United States Of America,ARLINGTON,9916 Millington Arlington Road,9916 Millington Arlington Road,35.33356,-89.73252,TENNESSEE,2026-02-28,38002,American,american,,,0,+1 901-614-2968,,,,$$,No,No,Yes,,https://www.toasttab.com/local/order/the-food-dude-llc/r-58d18a07-1d38-4640-bbb7-e7fda580331e,The Food Dude LLC,,toasttab,,2461688,24.366808324166204,true,MEM,,2026-03-07T05:19:15.522Z
Huey's Collierville,United States Of America,COLLIERVILLE,"2130 W Poplar Ave Suite 101, Collierville, Tn 38017, 0615",2130 W Poplar Ave Suite 101,35.052938,-89.73322999999999,TENNESSEE,2026-02-28,38139,Burgers,"burgers, sandwiches, burger joint, american restaurant, pubs, bar, dining and drinking, american, restaurant",Casual Dining,3.9,143,+1 901-854-4455,https://hueyburger.com/,https://hueyburger.com/,https://hueyburger.com/menus/,$$,No,Yes,Yes,,https://www.tripadvisor.com/Restaurant_Review-g54964-d490099-Reviews-Huey_s_Collierville-Collierville_Tennessee.html,Huey's Collierville,,tripadvisor,,2237058,13.819866744642088,true,MEM,,2026-03-07T05:19:15.522Z
Garibaldi's Pizza,United States Of America,GERMANTOWN,"7521 Queens Ct, Germantown, Tn",7521 Queens Ct,35.09062,-89.8121,TENNESSEE,2026-02-28,38138,Italian,"italian, italian restaurant, pizzeria, dining and drinking, restaurant, pizza",Casual Dining,4.1,60,+1 901-756-4444,http://www.garibaldispizza.com/,http://www.garibaldispizza.com/,,$$,Yes,No,Yes,,https://www.tripadvisor.com/Restaurant_Review-g55065-d441100-Reviews-Garibaldi_s_Pizza-Germantown_Tennessee.html,Garibaldi's Pizza,,tripadvisor,,469240,9.901632226231476,true,MEM,,2026-03-07T05:19:15.522Z
Memphis Pizza Cafe,United States Of America,GERMANTOWN,"7604 W Farmington Blvd, Germantown, Tn 38138, 2827",7604 W Farmington Blvd,35.096,-89.81001,TENNESSEE,2026-02-28,38138,Dining and Drinking,"dining and drinking, pizzeria, restaurant, pizza",Casual Dining,3.9,79,+1 901-753-2218,http://www.memphispizzacafe.com/,http://www.memphispizzacafe.com/,,$,Yes,Yes,Yes,,https://www.tripadvisor.com/Restaurant_Review-g55065-d470635-Reviews-Memphis_Pizza_Cafe-Germantown_Tennessee.html,Memphis Pizza Cafe,,tripadvisor,,1050852,10.142114812218333,true,MEM,,2026-03-07T05:19:15.522Z
Lennys Grill & Subs,United States Of America,MEMPHIS,"5643 E Shelby Drive, Memphis, Tn",5643 E Shelby Drive,35.019879,-89.87524,TENNESSEE,2026-02-28,38141,Sandwiches,"sandwiches, sandwich spot, dining and drinking, restaurant, salad, cheesesteaks",,3.6,5,+1 901-367-8870,https://order.lennys.com/menu/lennys-grill-subs-67/,https://order.lennys.com/menu/lennys-grill-subs-67/,http://www.lennys.com/menu/,$,No,No,Yes,,https://www.tripadvisor.com/Restaurant_Review-g55197-d3375274-Reviews-Lennys_Grill_Subs-Memphis_Tennessee.html,Lennys Grill & Subs,,tripadvisor,,2260099,5.957532135415783,true,MEM,,2026-03-07T05:19:15.522Z
Cafe Society,United States Of America,MEMPHIS,"212 N Evergreen St, Memphis, Tn 38112, 5210",212 N Evergreen St,35.14385,-90.00329,TENNESSEE,2026-02-28,38112,International,"international, contemporary",Fine Dining,4.1,104,+1 901-722-2177,http://www.cafesocietymemphis.com,http://www.cafesocietymemphis.com,,$$$$,No,Yes,Yes,,https://www.tripadvisor.com/Restaurant_Review-g55197-d448373-Reviews-Cafe_Society-Memphis_Tennessee.html,Cafe Society,,tripadvisor,,2336133,7.153036594228295,true,MEM,,2026-03-07T05:19:15.522Z
Huey's Southwind,United States Of America,MEMPHIS,"7825 Winchester Rd, Memphis, Tn",7825 Winchester Rd,35.0478715,-89.8025815,TENNESSEE,2026-02-28,38125,Burgers,"burgers, sandwiches, burger joint, eastern european, american restaurant, pub, pubs, dining and drinking, american, restaurant, armenian",Casual Dining,4.2,67,+1 901-624-8911,https://hueyburger.com/,https://hueyburger.com/,https://hueyburger.com/menus/,$$,No,Yes,Yes,,https://www.tripadvisor.com/Restaurant_Review-g55197-d490101-Reviews-Huey_s_Southwind-Memphis_Tennessee.html,Huey's Southwind,,tripadvisor,,2557196,9.876692123375767,true,MEM,,2026-03-07T05:19:15.522Z
Venice Kitchen,United States Of America,MEMPHIS,"368 Perkins Ext, Memphis, Tn 38117, 3808",368 Perkins Ext,35.12096,-89.90849,TENNESSEE,2026-02-28,38117,Italian,"italian, italian restaurant, sandwiches, pizzeria, dining and drinking, restaurant, pizza",Casual Dining,3.9,89,+1 901-767-6872,https://www.venice-kitchen.com/,https://www.venice-kitchen.com/,https://www.venice-kitchen.com/vkmenu,$$,Yes,No,Yes,,https://www.tripadvisor.com/Restaurant_Review-g55197-d840703-Reviews-Venice_Kitchen-Memphis_Tennessee.html,Venice Kitchen,,tripadvisor,,1020814,6.651418894157434,true,MEM,,2026-03-07T05:19:15.522Z
Allstarburger,United States Of America,WEST MEMPHIS,2201 Horizan Road,2201 Horizan Road,35.15732,-90.22442,ARKANSAS,2026-02-28,72301,Soul Food,"soul food, burgers, american",Casual Dining,,0,+1 870-551-4055,,,,$,Yes,No,Yes,,https://www.ubereats.com/store/allstarburger/uV_XGaFzRUiLJPpYz-0uzA,Allstarburger,,ubereats,,1162422,16.11690410429702,true,MEM,,2026-03-07T05:19:15.522Z
Baskin-Robbins,United States Of America,MEMPHIS,"8057 Highway 64 Ste 106, Memphis, Tn",8057 Highway 64 Ste 106,35.204115,-89.79420999999999,TENNESSEE,2026-02-28,38133,Ice Cream Parlor,"ice cream parlor, desserts, dessert shop, dining and drinking, ice cream & frozen yogurt, ice cream and frozen yogurt, bakery",QSR,3.4,5,+1 901-266-3831,https://locations.baskinrobbins.com/tn/memphis/8057-highway-64,https://locations.baskinrobbins.com/tn/memphis/8057-highway-64,https://www.baskinrobbins.com/content/baskinrobbins/en/products/icecream.html,$,Yes,Yes,Yes,,https://www.ubereats.com/store/baskin-robbins-8057-us-highway-64-106/C3tZOpRlTCWF8XFUdi3Cng,Baskin-Robbins,,ubereats,,1007513,15.200215801536695,true,MEM,,2026-03-07T05:19:15.522Z
Blues City Crab,United States Of America,MEMPHIS,1571 Sycamore View Road,1571 Sycamore View Road,35.1682725,-89.8654125,TENNESSEE,2026-02-28,38134,Southern,"southern, seafood restaurant, cajun and creole restaurant, dining and drinking, seafood, american, restaurant",,,0,+1 571-354-1528,http://bluescitycrab.weebly.com,http://bluescitycrab.weebly.com,,$,Yes,Yes,Yes,,https://www.ubereats.com/store/blues-city-crabs/N3I43mhtRjSyABo_zH-BBw,Blues City Crab,,ubereats,,2194436,10.723614518830745,true,MEM,,2026-03-07T05:19:15.522Z
Broken Cup Cafe,United States Of America,SENATOBIA,203 Center Street,203 Center Street,34.62025,-89.96554,MISSISSIPPI,2026-02-28,38668,Coffee and Tea,"coffee and tea, breakfast and brunch, american",Casual Dining,,0,+1 662-301-8574,,,,$,Yes,No,Yes,,https://www.ubereats.com/store/broken-cup-cafe/cd3bGDwzQaSthf2gp6lSYw,Broken Cup Cafe,,ubereats,,1166258,29.108472461287068,true,MEM,,2026-03-07T05:19:15.522Z
Burger King,United States Of America,SOUTHAVEN,"150 Goodman Road West, Southaven, Ms 38671, 9405",150 Goodman Road West,34.963135,-89.9920785,MISSISSIPPI,2026-02-28,38671,Burgers,"burgers, dining and drinking, burger, fast food, american, restaurant, fast food restaurant",QSR,3.8,16,+1 662-349-3758,https://burgerking.com/store-locator/store/7463,https://burgerking.com/store-locator/store/7463,http://www.bk.com/menu/kids_meals,$,Yes,No,Yes,,https://www.ubereats.com/store/burger-king-150-goodman-road-west/-6dPZ-iIQ1Gqn1ssaJen5w,Burger King,,ubereats,,1167026,5.534975921233297,true,MEM,,2026-03-07T05:19:15.522Z
Burger King,United States Of America,WEST MEMPHIS,"216 S Service Rd, West Memphis, Ar 72301, 1747",216 S Service Rd,35.16891,-90.189268,ARKANSAS,2026-02-28,72301,Burgers,"burgers, dining and drinking, burger, fast food, american, restaurant, fast food restaurant",QSR,4.3,3,+1 870-732-5062,https://burgerking.com/store-locator/store/5062,https://burgerking.com/store-locator/store/5062,,$,Yes,No,Yes,,https://www.ubereats.com/store/burger-king-216-s-service-rd/J06NF6x1TGKF4tCqp-eC6A,Burger King,,ubereats,,304158,14.86904989286976,true,MEM,,2026-03-07T05:19:15.522Z
Burger King,United States Of America,BARTLETT,"6700 Stage Road, Bartlett, Tn 38134, 2837",6700 Stage Road,35.2054885,-89.8399235,TENNESSEE,2026-02-28,38134,Burgers,"burgers, dining and drinking, burger, fast food, american, restaurant, fast food restaurant",QSR,3.0,4,+1 901-383-8328,https://burgerking.com/store-locator/store/7349,https://burgerking.com/store-locator/store/7349,http://www.bk.com/menu/kids_meals,$,Yes,No,Yes,,https://www.ubereats.com/store/burger-king-6700-stage-road/1VDEllP3TWaFqapvuKoNWg,Burger King,,ubereats,,1395628,13.651195596478958,true,MEM,,2026-03-07T05:19:15.522Z
Burger King,United States Of America,MEMPHIS,"6869 Winchester, Memphis, Tn 38115, 4401",6869 Winchester,35.04884,-89.83466,TENNESSEE,2026-02-28,38115,Burgers,"burgers, dining and drinking, burger, fast food, american, restaurant, fast food restaurant",QSR,1.0,3,+1 901-368-0707,https://burgerking.com/store-locator/store/7206,https://burgerking.com/store-locator/store/7206,http://www.bk.com/menu/kids_meals,$,Yes,No,Yes,,https://www.ubereats.com/store/burger-king-6869-winchester/NI8mzyCoSSKbu006XpJemA,Burger King,,ubereats,,1167480,8.063032433955282,true,MEM,,2026-03-07T05:19:15.522Z
Burger King,United States Of America,MARION,"740 Us Highway 64, Marion, Ar 72364, 9664",740 Us Highway 64,35.21168,-90.2098775,ARKANSAS,2026-02-28,72364,Burgers,"burgers, dining and drinking, burger, fast food, american, restaurant, fast food restaurant",QSR,2.1,13,+1 870-739-3839,https://burgerking.com/store-locator/store/16595,https://burgerking.com/store-locator/store/16595,http://www.bk.com/menu/kids_meals,$,Yes,No,Yes,,https://www.ubereats.com/store/burger-king-740-us-highway-64s/uPN7jNkYQW2qGetPluUPsQ,Burger King,,ubereats,,2309422,17.623762633637458,true,MEM,,2026-03-07T05:19:15.522Z
Cairo Gyro,United States Of America,OAKLAND,3340 Highway 64,3340 Highway 64,35.22489,-89.58282,TENNESSEE,2026-02-28,38060,Mediterranean,"mediterranean, vegetarian, greek",Casual Dining,4.8,2,+1 901-232-1860,,,,$$,Yes,No,Yes,,https://www.ubereats.com/store/cairo-gyro/F0zdXJG5Toqwiduo_uR3sg,Cairo Gyro,,ubereats,,1893585,25.606807847551625,true,MEM,,2026-03-07T05:19:15.522Z
Cameo,United States Of America,MEMPHIS,1835 Union Ave Suite 103,1835 Union Ave Suite 103,35.1349795,-90.000682,TENNESSEE,2026-02-28,38104,Sandwiches,"sandwiches, vegan friendly, vegetarian friendly, dining and drinking, bar, pizza",Casual Dining,,0,+1 901-305-6911,http://cameomemphis.com,http://cameomemphis.com,,$,Yes,No,Yes,,https://www.ubereats.com/store/cameo/uwgcaEWiVk-IE7NX6er5Fg,Cameo,,ubereats,,1168145,6.5241565281139,true,MEM,,2026-03-07T05:19:15.522Z
Chow Time Buffet & Grill,United States Of America,MEMPHIS,"4207 Hacks Cross Rd, Memphis, Tn 38125, 3102",4207 Hacks Cross Rd,35.033515,-89.797026,TENNESSEE,2026-02-28,38125,Restaurant,"restaurant, asian restaurant, dining and drinking, american, chinese restaurant, seafood, asian, chinese, southern",Casual Dining,4.0,50,+1 901-737-8272,http://chowtimebuffet.com,http://chowtimebuffet.com,http://www.chowtimebuffet.com/Chow-Time-Party-Tray-Menu.pdf,$,Yes,No,Yes,,https://www.ubereats.com/store/chow-time-buffet-%26-grill-hacks-cross-rd/oGhu_0a5QgWCno5kXjXWWg,Chow Time Buffet & Grill,,ubereats,,2086200,10.203869013123965,true,MEM,,2026-03-07T05:19:15.522Z
Don Jose Mexican Restaurant,United States Of America,WYNNE,"1732 Falls Blvd N Wynne, Ar",1732 Falls Blvd N,35.23997,-90.78279,ARKANSAS,2026-02-28,72396,New Mexican,"new mexican, latin american, mexican, dining and drinking, tex-mex, mexican restaurant, restaurant, salad",,,0,+1 870-208-8191,https://www.donjosewynne.com,https://www.donjosewynne.com,https://www.donjosewynne.com/menu,$$,No,No,Yes,,https://www.ubereats.com/store/don-jose-mexican-restaurant/fPFctMJKRsGSthwlej9E2A,Don Jose Mexican Restaurant,,ubereats,,2480710,47.635532599592715,true,MEM,,2026-03-07T05:19:15.522Z
Double Trouble Seafood,United States Of America,MEMPHIS,1381 Elvis Presley Boulevard,1381 Elvis Presley Boulevard,35.10906,-90.02184,TENNESSEE,2026-02-28,38106,American,"american, southern, seafood",Casual Dining,,0,+1 901-859-2064,,,,$$,Yes,No,Yes,,https://www.ubereats.com/store/double-trouble-seafood/BWTQQDULR_Kd4FeTaWLR0g,Double Trouble Seafood,,ubereats,,1174078,5.2589733181305025,true,MEM,,2026-03-07T05:19:15.522Z
Dunkin',United States Of America,MEMPHIS,"1540 Union Ave, Memphis, Tn",1540 Union Ave,35.136535499999994,-90.00982400000001,TENNESSEE,2026-02-28,38104,Donut Shop,"donut shop, coffee & tea, donuts, cafe, coffee, and tea house, dining and drinking, coffee shop, cafe, breakfast and brunch",QSR,3.5,6,+1 901-272-0172,https://locations.dunkindonuts.com/en/tn/memphis/1540-union-ave/349258,https://locations.dunkindonuts.com/en/tn/memphis/1540-union-ave/349258,,$,Yes,No,Yes,,https://www.ubereats.com/store/dunkin-1540-union-ave/LUHLsVDXT9-H7_iRGkFVeA,Dunkin',,ubereats,,699831,6.754468084049172,true,MEM,,2026-03-07T05:19:15.522Z
Euphoria Liquor &amp; Wine,United States Of America,SOUTHAVEN,"550 Church Road East, Suite 1","550 Church Road East, Suite 1",34.93436,-89.98064,MISSISSIPPI,2026-02-28,38671,Alcohol,alcohol,Casual Dining,4.933481152993348,180,+1 662-470-6162,,,,$,Yes,Yes,Yes,,https://www.ubereats.com/store/euphoria-liquor-%26-wine/rXslFn8WURO5Xr9cNQ20VQ,Euphoria Liquor &amp; Wine,,ubereats,,2384074,7.452535851765228,true,MEM,,2026-03-07T05:19:15.522Z
Fresh &amp; Ready from Kroger,United States Of America,MEMPHIS,6660 Poplar Ave,6660 Poplar Ave,35.10021,-89.84115,TENNESSEE,2026-02-28,38138,Specialty Foods,specialty foods,Casual Dining,4.857142857142858,6,+1 555-555-5555,,,,$$,No,No,Yes,,https://www.ubereats.com/store/fresh-%26-ready-from-kroger/dzblwUtcWbqz748HNjMY4Q,Fresh &amp; Ready from Kroger,,ubereats,,2384172,8.652251422647726,true,MEM,,2026-03-07T05:19:15.522Z
Juice Bar,United States Of America,MEMPHIS,"553 S Cooper St, Memphis, Tn 38104, 5317",553 S Cooper St,35.130784,-89.990645,TENNESSEE,2026-02-28,38104,Vegan and Vegetarian Restaurant,"vegan and vegetarian restaurant, dining and drinking, juice bar, juice bars & smoothies, healthy, restaurant, juice and smoothies",,4.2,5,+1 901-568-9094,http://www.ilovejuicebar.com/midtownmemphis,http://www.ilovejuicebar.com/midtownmemphis,https://www.ilovejuicebar.com/menu,$$,Yes,No,Yes,,https://www.ubereats.com/store/i-love-juice-bar-553-cooper-st/VPhbrE2nQ6-o5jv9_UVw6A,Juice Bar,,ubereats,,2482444,6.142739579048387,true,MEM,,2026-03-07T05:19:15.522Z
I Love Pho &amp; Grills,United States Of America,MEMPHIS,"567 Perkins Extd Memphis, Tn",567 Perkins Extd,35.11579,-89.90977,TENNESSEE,2026-02-28,38117,Asian Fusion,"asian fusion, vietnamese restaurant, bubble tea, asian restaurant, parrilla, dining and drinking, juice bars & smoothies, pho, asian, restaurant",,4.527436527436528,340,+1 901-221-7090,,,,$$,Yes,No,Yes,,https://www.ubereats.com/store/i-love-pho-%26-grills/0HnAhanzQKWf5JgZr8tCfg,I Love Pho &amp; Grills,,ubereats,,2482445,6.3209791686263355,true,MEM,,2026-03-07T05:19:15.522Z
Imagine Vegan Cafe,United States Of America,MEMPHIS,"2299 Young Ave, Memphis, Tn 38104, 5756",2299 Young Ave,35.119705,-89.990255,TENNESSEE,2026-02-28,38104,Vegan and Vegetarian Restaurant,"vegan and vegetarian restaurant, restaurant, vegetarian, dining and drinking, healthy, american, cafe, vegan",Casual Dining,4.2,107,+1 901-654-3455,http://www.imaginevegancafe.com/,http://www.imaginevegancafe.com/,http://www.imaginevegancafe.com/?page_id=5,$$,No,No,Yes,,https://www.ubereats.com/store/imagine-vegan-cafe/ZXFBuWaOVGyMwoyxoGNGSw,Imagine Vegan Cafe,,ubereats,,2494476,5.383065468363366,true,MEM,,2026-03-07T05:19:15.522Z
Insomnia Cookies,United States Of America,MEMPHIS,"200 Beale Street Suite C, Memphis, Tn",200 Beale Street Suite C,35.139595,-90.05157,TENNESSEE,2026-02-28,38103,Desserts,"desserts, gluten free, dining and drinking, ice cream & frozen yogurt, bakery, american, vegan, food delivery services",,3.3,6,+1 901-334-9358,https://insomniacookies.com/locations/store/1224,https://insomniacookies.com/locations/store/1224,https://insomniacookies.com/menu/downtownmemphis,$,Yes,No,Yes,,https://www.ubereats.com/store/insomnia-cookies-200-beale-street-suite-c/QyANJWQ_RgWP8EEwNx0cyQ,Insomnia Cookies,,ubereats,,807969,7.930057031464554,true,MEM,,2026-03-07T05:19:15.522Z
Interstate Barbecue,United States Of America,MEMPHIS,"2265 S 3Rd St, Memphis, Tn 38109, 2566",2265 S 3Rd St,35.085499999999996,-90.057265,TENNESSEE,2026-02-28,38109,Barbecue,"barbecue, sandwiches, bbq joint, bbq, dining and drinking, salads, american, barbeque, restaurant",Casual Dining,3.3,557,+1 901-775-2304,http://www.interstatebarbecue.com/,http://www.interstatebarbecue.com/,http://www.interstatebarbecue.com/menu,$$,Yes,No,Yes,,https://www.ubereats.com/store/interstate-barbecue-memphis/8IacIZpyW2qHDhIVqOuI4A,Interstate Barbecue,,ubereats,,2412901,5.448578239277925,true,MEM,,2026-03-07T05:19:15.522Z
KFC,United States Of America,HORN LAKE,"1005 Goodman Road, Horn Lake, Ms",1005 Goodman Road,34.962175,-90.008835,MISSISSIPPI,2026-02-28,38637,Chicken Shop,"chicken shop, family friendly, fried chicken joint, family meals, chicken wings, waffles, chicken, dining and drinking, wings, fast food, fried chicken, american, restaurant, fast food restaurant",QSR,3.9,11,+1 662-349-4404,https://locations.kfc.com/ms/horn-lake/1005-goodman-road,https://locations.kfc.com/ms/horn-lake/1005-goodman-road,https://www.kfc.com/menu/promotions,$,Yes,No,Yes,,https://www.ubereats.com/store/kfc-1005-goodman-road/hsRncQTNReeT9l-hmX6UkQ,KFC,,ubereats,,763920,5.824821652840971,true,MEM,,2026-03-07T05:19:15.522Z
Kung Fu Tea + TKK Fried Chicken Express,United States Of America,MEMPHIS,4000 Summer Ave Suite 101,4000 Summer Ave Suite 101,35.149568,-89.927784,TENNESSEE,2026-02-28,38122,Bubble Tea,"bubble tea, coffee and tea, cafe, coffee, and tea house, bubble tea shop, dining and drinking",Casual Dining,4.686046511627906,84,+1 901-661-3250,,,,$,Yes,Yes,Yes,,https://www.ubereats.com/store/kung-fu-tea-%2B-tkk-fried-chicken-express/Q3t5KiEFXoODUbf6O9mggA,Kung Fu Tea + TKK Fried Chicken Express,,ubereats,,2483256,7.888623412435474,true,MEM,,2026-03-07T05:19:15.522Z
Little Italy Downtown,United States Of America,MEMPHIS,"106 E Ge Patterson Ave, Memphis, Tn 38103, 4504",106 E Ge Patterson Ave,35.132945,-90.058705,TENNESSEE,2026-02-28,38103,Italian,"italian, sandwiches, pizzeria, pasta, dining and drinking, restaurant, pizza",Casual Dining,4.1,10,+1 901-791-2419,http://littleitaly-downtown.com,http://littleitaly-downtown.com,https://www.littleitaly-downtown.com/,$,Yes,No,Yes,,https://www.ubereats.com/store/little-italy-downtown/ie0GirXjWOiUvOFwhLSQCQ,Little Italy Downtown,,ubereats,,2483695,7.781428758155838,true,MEM,,2026-03-07T05:19:15.522Z
Live From The Kitchen Wings and More,United States Of America,MEMPHIS,5920 Winchester Road,5920 Winchester Road,35.05008,-89.86598,TENNESSEE,2026-02-28,38115,American,"american, burgers, rolls",Casual Dining,,0,+1 901-949-2230,,,,$$,Yes,No,Yes,,https://www.ubereats.com/store/live-from-the-kitchen-wings-and-more/QWs9G-lyXUGfP3hfwRjQLA,Live From The Kitchen Wings and More,,ubereats,,1399190,6.297404375963732,true,MEM,,2026-03-07T05:19:15.522Z
Los Comales Downtown,United States Of America,MEMPHIS,"345 Madison Ave, Memphis, Tn",345 Madison Ave,35.142920000000004,-90.044885,TENNESSEE,2026-02-28,38103,New Mexican,"new mexican, tacos, latin american, mexican, dining and drinking, mexican restaurant, restaurant",,5.0,2,+1 901-590-4525,,,,$$,Yes,No,Yes,,https://www.ubereats.com/store/los-comales-stop-345/SCLhvpMBVmSY4bjfpXUhZA,Los Comales Downtown,,ubereats,,2483776,7.9332958861903755,true,MEM,,2026-03-07T05:19:15.522Z
McAlister's Deli,United States Of America,CORDOVA,"7990 Trinity Road Suite 129, Cordova, Tn",7990 Trinity Road Suite 129,35.143347000000006,-89.79646,TENNESSEE,2026-02-28,38018,Sandwiches,"sandwiches, sandwich, american restaurant, deli, dining and drinking, delis, salads, healthy, american, restaurant, salad",Casual Dining,4.4,13,+1 901-737-7282,https://www.mcalistersdeli.com/locations/tn/cordova/7990-trinity-road-suite-129-1049,https://www.mcalistersdeli.com/locations/tn/cordova/7990-trinity-road-suite-129-1049,http://www.mcalistersdeli.com/menu?utm_campaign=yelp&utm_medium=referral&utm_source=yelp&utm_content=1312,$,Yes,No,Yes,,https://www.ubereats.com/store/mcalisters-1049-7990-trinity-road-suite-129/tqaHp314TXSfipD8F7G55w,McAlister's Deli,,ubereats,,1187526,12.355742260560273,true,MEM,,2026-03-07T05:19:15.522Z
McDonald's,United States Of America,HORN LAKE,"1512 Goodman Rd, Horn Lake, Ms",1512 Goodman Rd,34.96317,-90.01787,MISSISSIPPI,2026-02-28,38637,Burgers,"burgers, coffee & tea, dining and drinking, fast food, american, restaurant, fast food restaurant",QSR,2.4,9,+1 662-342-1196,https://www.mcdonalds.com/us/en-us/location/ms/horn-lake/1512-goodman-rd/12513.html,https://www.mcdonalds.com/us/en-us/location/ms/horn-lake/1512-goodman-rd/12513.html,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All,$,No,Yes,Yes,,https://www.ubereats.com/store/mcdonalds-1512-goodman-rds/5R4w3qH7SkCM6ldF5SOlmg,McDonald's,,ubereats,,2297896,5.941970575441895,true,MEM,,2026-03-07T05:19:15.522Z
McDonald's,United States Of America,GERMANTOWN,"2030 Germantown Rd, Germantown, Tn",2030 Germantown Rd,35.093531,-89.80785399999999,TENNESSEE,2026-02-28,38138,Burgers,"burgers, coffee & tea, dining and drinking, fast food, american, restaurant, fast food restaurant",QSR,3.7,16,+1 901-755-5175,https://www.mcdonalds.com/us/en-us/location/tn/germantown/2030-germantown-rd/5154.html,https://www.mcdonalds.com/us/en-us/location/tn/germantown/2030-germantown-rd/5154.html,https://www.mcdonalds.com/us/en-us/location/tn/germantown/2030-germantown-rd/5154.html?cid=rf:yxt:ron::clicks#mcdlanguagetogglemenumobile,$,No,Yes,Yes,,https://www.ubereats.com/store/mcdonalds-2030-germantown-rd/HletcLpwQnCjd_gNxu6zwQ,McDonald's,,ubereats,,714442,10.196088051679569,true,MEM,,2026-03-07T05:19:15.522Z
McDonald's,United States Of America,FORREST CITY,"2301 N Washington St, Forrest City, Ar",2301 N Washington St,35.03097,-90.79019,ARKANSAS,2026-02-28,72335,Burgers,"burgers, coffee & tea, dining and drinking, fast food, american, restaurant, fast food restaurant",QSR,2.6,54,+1 513-967-9822,https://www.mcdonalds.com/us/en-us/location/ar/forrest-city/2301-n-washington-st/4146.html,https://www.mcdonalds.com/us/en-us/location/ar/forrest-city/2301-n-washington-st/4146.html,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All,$,No,Yes,Yes,,https://www.ubereats.com/store/mcdonalds-2301-n-washington-sts/Tx1nlQvJVQqRoqIjhhEGpQ,McDonald's,,ubereats,,2275610,46.131992147561256,true,MEM,,2026-03-07T05:19:15.522Z
